City,month,NO2,year,month_num,dayofyear,season,NO2_prev_month,NO2_roll3
Vienna (Austria),2018-02-01,29.2,2018,2,32,1,27.3,28.25
Brussels (Belgium),2018-02-01,41.7,2018,2,32,1,33.2,37.45
Sofia (Bulgaria),2018-02-01,30.0,2018,2,32,1,49.8,39.9
Bern (Switzerland),2018-02-01,29.1,2018,2,32,1,25.5,27.3
Nicosia (Cyprus),2018-02-01,30.7,2018,2,32,1,29.7,30.2
Prague (Czech Republic),2018-02-01,34.3,2018,2,32,1,27.1,30.7
Berlin (Germany),2018-02-01,38.7,2018,2,32,1,33.3,36.0
Copenhagen (Denmark),2018-02-01,23.1,2018,2,32,1,22.1,22.6
Tallinn (Estonia),2018-02-01,15.4,2018,2,32,1,12.5,13.95
Athens (Greece),2018-02-01,32.1,2018,2,32,1,35.6,33.85
Madrid (Spain),2018-02-01,44.3,2018,2,32,1,47.2,45.75
EU27 (aggregate),2018-02-01,34.1,2018,2,32,1,31.9,33.0
Helsinki (Finland),2018-02-01,28.7,2018,2,32,1,21.0,24.85
Paris (France),2018-02-01,45.0,2018,2,32,1,36.7,40.85
Zagreb (Croatia),2018-02-01,37.6,2018,2,32,1,37.6,37.6
Budapest (Hungary),2018-02-01,35.2,2018,2,32,1,33.8,34.5
Dublin (Ireland),2018-02-01,25.8,2018,2,32,1,22.7,24.25
Reykjavik (Iceland),2018-02-01,12.0,2018,2,32,1,20.4,16.2
Rome (Italy),2018-02-01,48.7,2018,2,32,1,52.6,50.650000000000006
Vilnius (Lithuania),2018-02-01,31.2,2018,2,32,1,16.4,23.799999999999997
Luxembourg (Luxembourg),2018-02-01,39.4,2018,2,32,1,32.7,36.05
Riga (Latvia),2018-02-01,39.7,2018,2,32,1,27.8,33.75
Valletta (Malta),2018-02-01,26.9,2018,2,32,1,30.6,28.75
Amsterdam (Netherlands),2018-02-01,34.3,2018,2,32,1,31.6,32.95
Oslo (Norway),2018-02-01,38.7,2018,2,32,1,43.3,41.0
Warsaw (Poland),2018-02-01,35.6,2018,2,32,1,29.1,32.35
Lisbon (Portugal),2018-02-01,28.7,2018,2,32,1,31.6,30.15
Bucharest (Romania),2018-02-01,45.5,2018,2,32,1,50.3,47.9
Stockholm (Sweden),2018-02-01,32.9,2018,2,32,1,26.9,29.9
Ljubljana (Slovenia),2018-02-01,36.8,2018,2,32,1,35.5,36.15
Bratislava (Slovakia),2018-02-01,30.7,2018,2,32,1,27.4,29.049999999999997
Vienna (Austria),2018-03-01,32.0,2018,3,60,2,29.2,29.5
Brussels (Belgium),2018-03-01,38.4,2018,3,60,2,41.7,37.76666666666667
Sofia (Bulgaria),2018-03-01,33.1,2018,3,60,2,30.0,37.63333333333333
Bern (Switzerland),2018-03-01,32.4,2018,3,60,2,29.1,29.0
Nicosia (Cyprus),2018-03-01,22.9,2018,3,60,2,30.7,27.766666666666666
Prague (Czech Republic),2018-03-01,33.9,2018,3,60,2,34.3,31.766666666666666
Berlin (Germany),2018-03-01,36.6,2018,3,60,2,38.7,36.199999999999996
Copenhagen (Denmark),2018-03-01,26.1,2018,3,60,2,23.1,23.76666666666667
Tallinn (Estonia),2018-03-01,15.8,2018,3,60,2,15.4,14.566666666666668
Athens (Greece),2018-03-01,34.9,2018,3,60,2,32.1,34.199999999999996
Madrid (Spain),2018-03-01,27.3,2018,3,60,2,44.3,39.6
EU27 (aggregate),2018-03-01,32.8,2018,3,60,2,34.1,32.93333333333333
Helsinki (Finland),2018-03-01,26.1,2018,3,60,2,28.7,25.266666666666666
Paris (France),2018-03-01,45.6,2018,3,60,2,45.0,42.43333333333334
Zagreb (Croatia),2018-03-01,41.9,2018,3,60,2,37.6,39.03333333333333
Budapest (Hungary),2018-03-01,35.7,2018,3,60,2,35.2,34.9
Dublin (Ireland),2018-03-01,29.1,2018,3,60,2,25.8,25.866666666666664
Reykjavik (Iceland),2018-03-01,12.0,2018,3,60,2,12.0,14.799999999999999
Rome (Italy),2018-03-01,43.7,2018,3,60,2,48.7,48.333333333333336
Vilnius (Lithuania),2018-03-01,28.8,2018,3,60,2,31.2,25.46666666666667
Luxembourg (Luxembourg),2018-03-01,39.3,2018,3,60,2,39.4,37.13333333333333
Riga (Latvia),2018-03-01,28.7,2018,3,60,2,39.7,32.06666666666667
Valletta (Malta),2018-03-01,21.8,2018,3,60,2,26.9,26.433333333333334
Amsterdam (Netherlands),2018-03-01,35.0,2018,3,60,2,34.3,33.63333333333333
Oslo (Norway),2018-03-01,37.7,2018,3,60,2,38.7,39.9
Warsaw (Poland),2018-03-01,37.2,2018,3,60,2,35.6,33.96666666666667
Lisbon (Portugal),2018-03-01,19.8,2018,3,60,2,28.7,26.7
Bucharest (Romania),2018-03-01,59.4,2018,3,60,2,45.5,51.73333333333333
Stockholm (Sweden),2018-03-01,31.7,2018,3,60,2,32.9,30.5
Ljubljana (Slovenia),2018-03-01,32.4,2018,3,60,2,36.8,34.9
Bratislava (Slovakia),2018-03-01,29.7,2018,3,60,2,30.7,29.266666666666666
Vienna (Austria),2018-04-01,24.9,2018,4,91,2,32.0,28.7
Brussels (Belgium),2018-04-01,33.4,2018,4,91,2,38.4,37.833333333333336
Sofia (Bulgaria),2018-04-01,26.5,2018,4,91,2,33.1,29.866666666666664
Bern (Switzerland),2018-04-01,22.6,2018,4,91,2,32.4,28.03333333333333
Nicosia (Cyprus),2018-04-01,19.2,2018,4,91,2,22.9,24.266666666666666
Prague (Czech Republic),2018-04-01,30.6,2018,4,91,2,33.9,32.93333333333333
Berlin (Germany),2018-04-01,34.9,2018,4,91,2,36.6,36.733333333333334
Copenhagen (Denmark),2018-04-01,23.4,2018,4,91,2,26.1,24.2
Tallinn (Estonia),2018-04-01,12.5,2018,4,91,2,15.8,14.566666666666668
Athens (Greece),2018-04-01,44.1,2018,4,91,2,34.9,37.03333333333334
Madrid (Spain),2018-04-01,29.4,2018,4,91,2,27.3,33.666666666666664
EU27 (aggregate),2018-04-01,29.5,2018,4,91,2,32.8,32.13333333333333
Helsinki (Finland),2018-04-01,25.3,2018,4,91,2,26.1,26.7
Paris (France),2018-04-01,41.5,2018,4,91,2,45.6,44.03333333333333
Zagreb (Croatia),2018-04-01,34.4,2018,4,91,2,41.9,37.96666666666667
Budapest (Hungary),2018-04-01,27.0,2018,4,91,2,35.7,32.63333333333333
Dublin (Ireland),2018-04-01,21.4,2018,4,91,2,29.1,25.433333333333334
Reykjavik (Iceland),2018-04-01,7.8,2018,4,91,2,12.0,10.6
Rome (Italy),2018-04-01,40.8,2018,4,91,2,43.7,44.400000000000006
Vilnius (Lithuania),2018-04-01,22.4,2018,4,91,2,28.8,27.46666666666667
Luxembourg (Luxembourg),2018-04-01,37.1,2018,4,91,2,39.3,38.6
Riga (Latvia),2018-04-01,20.5,2018,4,91,2,28.7,29.633333333333336
Valletta (Malta),2018-04-01,31.8,2018,4,91,2,21.8,26.833333333333332
Amsterdam (Netherlands),2018-04-01,34.2,2018,4,91,2,35.0,34.5
Oslo (Norway),2018-04-01,34.6,2018,4,91,2,37.7,37.0
Warsaw (Poland),2018-04-01,37.1,2018,4,91,2,37.2,36.63333333333333
Lisbon (Portugal),2018-04-01,23.6,2018,4,91,2,19.8,24.03333333333333
Bucharest (Romania),2018-04-01,48.6,2018,4,91,2,59.4,51.166666666666664
Stockholm (Sweden),2018-04-01,27.2,2018,4,91,2,31.7,30.599999999999994
Ljubljana (Slovenia),2018-04-01,22.3,2018,4,91,2,32.4,30.5
Bratislava (Slovakia),2018-04-01,22.2,2018,4,91,2,29.7,27.53333333333333
Vienna (Austria),2018-05-01,22.1,2018,5,121,2,24.9,26.333333333333332
Brussels (Belgium),2018-05-01,33.0,2018,5,121,2,33.4,34.93333333333333
Sofia (Bulgaria),2018-05-01,23.5,2018,5,121,2,26.5,27.7
Bern (Switzerland),2018-05-01,17.8,2018,5,121,2,22.6,24.266666666666666
Nicosia (Cyprus),2018-05-01,17.8,2018,5,121,2,19.2,19.966666666666665
Prague (Czech Republic),2018-05-01,26.1,2018,5,121,2,30.6,30.200000000000003
Berlin (Germany),2018-05-01,25.3,2018,5,121,2,34.9,32.266666666666666
Copenhagen (Denmark),2018-05-01,28.5,2018,5,121,2,23.4,26.0
Tallinn (Estonia),2018-05-01,12.8,2018,5,121,2,12.5,13.700000000000001
Athens (Greece),2018-05-01,34.1,2018,5,121,2,44.1,37.699999999999996
Madrid (Spain),2018-05-01,28.1,2018,5,121,2,29.4,28.266666666666666
EU27 (aggregate),2018-05-01,27.3,2018,5,121,2,29.5,29.866666666666664
Helsinki (Finland),2018-05-01,24.9,2018,5,121,2,25.3,25.433333333333334
Paris (France),2018-05-01,35.8,2018,5,121,2,41.5,40.96666666666667
Budapest (Hungary),2018-05-01,26.1,2018,5,121,2,27.0,29.600000000000005
Dublin (Ireland),2018-05-01,28.2,2018,5,121,2,21.4,26.233333333333334
Reykjavik (Iceland),2018-05-01,7.0,2018,5,121,2,7.8,8.933333333333334
Rome (Italy),2018-05-01,32.5,2018,5,121,2,40.8,39.0
Vilnius (Lithuania),2018-05-01,21.0,2018,5,121,2,22.4,24.066666666666663
Luxembourg (Luxembourg),2018-05-01,28.3,2018,5,121,2,37.1,34.9
Riga (Latvia),2018-05-01,30.4,2018,5,121,2,20.5,26.53333333333333
Valletta (Malta),2018-05-01,30.9,2018,5,121,2,31.8,28.166666666666668
Amsterdam (Netherlands),2018-05-01,29.4,2018,5,121,2,34.2,32.86666666666667
Oslo (Norway),2018-05-01,30.7,2018,5,121,2,34.6,34.333333333333336
Warsaw (Poland),2018-05-01,30.4,2018,5,121,2,37.1,34.9
Lisbon (Portugal),2018-05-01,22.3,2018,5,121,2,23.6,21.900000000000002
Bucharest (Romania),2018-05-01,49.7,2018,5,121,2,48.6,52.56666666666666
Stockholm (Sweden),2018-05-01,27.8,2018,5,121,2,27.2,28.900000000000002
Ljubljana (Slovenia),2018-05-01,19.6,2018,5,121,2,22.3,24.766666666666666
Bratislava (Slovakia),2018-05-01,21.0,2018,5,121,2,22.2,24.299999999999997
Vienna (Austria),2018-06-01,18.2,2018,6,152,3,22.1,21.733333333333334
Brussels (Belgium),2018-06-01,26.0,2018,6,152,3,33.0,30.8
Sofia (Bulgaria),2018-06-01,21.1,2018,6,152,3,23.5,23.7
Bern (Switzerland),2018-06-01,15.6,2018,6,152,3,17.8,18.666666666666668
Nicosia (Cyprus),2018-06-01,12.7,2018,6,152,3,17.8,16.566666666666666
Prague (Czech Republic),2018-06-01,23.2,2018,6,152,3,26.1,26.633333333333336
Berlin (Germany),2018-06-01,26.2,2018,6,152,3,25.3,28.8
Copenhagen (Denmark),2018-06-01,20.1,2018,6,152,3,28.5,24.0
Tallinn (Estonia),2018-06-01,4.9,2018,6,152,3,12.8,10.066666666666666
Athens (Greece),2018-06-01,34.9,2018,6,152,3,34.1,37.699999999999996
Madrid (Spain),2018-06-01,25.6,2018,6,152,3,28.1,27.700000000000003
EU27 (aggregate),2018-06-01,23.9,2018,6,152,3,27.3,26.900000000000002
Helsinki (Finland),2018-06-01,16.0,2018,6,152,3,24.9,22.066666666666666
Paris (France),2018-06-01,31.1,2018,6,152,3,35.8,36.13333333333333
Zagreb (Croatia),2018-06-01,22.0,2018,6,152,3,34.4,32.766666666666666
Budapest (Hungary),2018-06-01,22.2,2018,6,152,3,26.1,25.099999999999998
Dublin (Ireland),2018-06-01,26.1,2018,6,152,3,28.2,25.233333333333334
Reykjavik (Iceland),2018-06-01,7.5,2018,6,152,3,7.0,7.433333333333334
Rome (Italy),2018-06-01,28.6,2018,6,152,3,32.5,33.96666666666667
Vilnius (Lithuania),2018-06-01,19.5,2018,6,152,3,21.0,20.966666666666665
Luxembourg (Luxembourg),2018-06-01,25.9,2018,6,152,3,28.3,30.433333333333337
Valletta (Malta),2018-06-01,32.1,2018,6,152,3,30.9,31.600000000000005
Amsterdam (Netherlands),2018-06-01,21.4,2018,6,152,3,29.4,28.333333333333332
Oslo (Norway),2018-06-01,21.9,2018,6,152,3,30.7,29.066666666666666
Warsaw (Poland),2018-06-01,35.8,2018,6,152,3,30.4,34.43333333333333
Lisbon (Portugal),2018-06-01,19.7,2018,6,152,3,22.3,21.866666666666664
Bucharest (Romania),2018-06-01,51.8,2018,6,152,3,49.7,50.03333333333333
Stockholm (Sweden),2018-06-01,19.6,2018,6,152,3,27.8,24.866666666666664
Ljubljana (Slovenia),2018-06-01,17.3,2018,6,152,3,19.6,19.733333333333334
Bratislava (Slovakia),2018-06-01,18.3,2018,6,152,3,21.0,20.5
Vienna (Austria),2018-07-01,19.0,2018,7,182,3,18.2,19.766666666666666
Brussels (Belgium),2018-07-01,28.1,2018,7,182,3,26.0,29.03333333333333
Sofia (Bulgaria),2018-07-01,17.7,2018,7,182,3,21.1,20.766666666666666
Bern (Switzerland),2018-07-01,17.7,2018,7,182,3,15.6,17.033333333333335
Nicosia (Cyprus),2018-07-01,13.9,2018,7,182,3,12.7,14.799999999999999
Prague (Czech Republic),2018-07-01,25.2,2018,7,182,3,23.2,24.833333333333332
Berlin (Germany),2018-07-01,26.2,2018,7,182,3,26.2,25.900000000000002
Copenhagen (Denmark),2018-07-01,19.1,2018,7,182,3,20.1,22.566666666666666
Tallinn (Estonia),2018-07-01,10.9,2018,7,182,3,4.9,9.533333333333333
Athens (Greece),2018-07-01,38.0,2018,7,182,3,34.9,35.666666666666664
Madrid (Spain),2018-07-01,26.1,2018,7,182,3,25.6,26.599999999999998
EU27 (aggregate),2018-07-01,24.0,2018,7,182,3,23.9,25.066666666666666
Helsinki (Finland),2018-07-01,17.1,2018,7,182,3,16.0,19.333333333333332
Paris (France),2018-07-01,36.5,2018,7,182,3,31.1,34.46666666666667
Zagreb (Croatia),2018-07-01,24.8,2018,7,182,3,22.0,27.066666666666666
Budapest (Hungary),2018-07-01,22.4,2018,7,182,3,22.2,23.566666666666666
Dublin (Ireland),2018-07-01,17.0,2018,7,182,3,26.1,23.766666666666666
Reykjavik (Iceland),2018-07-01,5.8,2018,7,182,3,7.5,6.766666666666666
Rome (Italy),2018-07-01,29.1,2018,7,182,3,28.6,30.066666666666666
Vilnius (Lithuania),2018-07-01,14.6,2018,7,182,3,19.5,18.366666666666667
Luxembourg (Luxembourg),2018-07-01,32.0,2018,7,182,3,25.9,28.733333333333334
Valletta (Malta),2018-07-01,35.6,2018,7,182,3,32.1,32.86666666666667
Amsterdam (Netherlands),2018-07-01,24.0,2018,7,182,3,21.4,24.933333333333334
Oslo (Norway),2018-07-01,22.0,2018,7,182,3,21.9,24.866666666666664
Warsaw (Poland),2018-07-01,34.1,2018,7,182,3,35.8,33.43333333333333
Lisbon (Portugal),2018-07-01,15.5,2018,7,182,3,19.7,19.166666666666668
Bucharest (Romania),2018-07-01,40.4,2018,7,182,3,51.8,47.300000000000004
Stockholm (Sweden),2018-07-01,20.4,2018,7,182,3,19.6,22.599999999999998
Ljubljana (Slovenia),2018-07-01,17.0,2018,7,182,3,17.3,17.96666666666667
Bratislava (Slovakia),2018-07-01,18.8,2018,7,182,3,18.3,19.366666666666664
Vienna (Austria),2018-08-01,22.4,2018,8,213,3,19.0,19.866666666666664
Brussels (Belgium),2018-08-01,22.9,2018,8,213,3,28.1,25.666666666666668
Sofia (Bulgaria),2018-08-01,19.7,2018,8,213,3,17.7,19.5
Bern (Switzerland),2018-08-01,17.4,2018,8,213,3,17.7,16.9
Nicosia (Cyprus),2018-08-01,12.3,2018,8,213,3,13.9,12.966666666666667
Prague (Czech Republic),2018-08-01,29.0,2018,8,213,3,25.2,25.8
Berlin (Germany),2018-08-01,31.4,2018,8,213,3,26.2,27.933333333333334
Copenhagen (Denmark),2018-08-01,21.1,2018,8,213,3,19.1,20.1
Tallinn (Estonia),2018-08-01,6.7,2018,8,213,3,10.9,7.5
